SITE_CODE,SHORT_TITLE,TITLE,SITE_TYPE,SUB_TYPE,STAGE,PROJ_CODE,PROJECT_TITLE,LONGITUDE,LATITUDE,EASTING,NORTHING,MGA_ZONE,COMMODITIES,COMMODITY_GROUP_NAME,TARGET_GROUP_NAME,MAP_LABEL_NAME,INCLUDE_COMMODITY_FLAG,MAP_COMMODITIES,ACTIVE_FLAG,SYMBOL,MAP_SERIES,CONFIDENTIALITY,MAP_SHEET_NO_100K,MAP_SHEET_NAME_100K,MAP_SHEET_NO_250K,MAP_SHEET_NAME_250K,LGA_NAME,DEVELOPMENT_REGION,DISTRICT_NO,DISTRICT_NAME,TECTONIC_UNIT,EXTRACT_DATE
S0231032,Shark Gully,Shark Gully / Atlas,Mine,Openpit,Operating,J03673,Sanjiv Ridge,119.669611000000003,-21.450806000000000,776682,7625601,50,Fe,Iron,IRON ORE,,N,,,,,Public,2855,MARBLE BAR,SF50-08,MARBLE BAR,"EAST PILBARA, SHIRE OF","PILBARA, Development Region",45,MARBLE BAR,Gorge Creek Basin,20230306
S0231033,Bandys Rd Sand/Ryles,Bandys Road Sand / Ryles,Mine,Openpit,Operating,J03199,Windarra Northeast Sand / Ryles,122.398133999999999,-28.252846999999999,440961,6874641,51,Sd,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,3341,MOUNT VARDEN,SH51-02,LAVERTON,"LAVERTON, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",38,MT. MARGARET,Eastern Goldfields Superterrane,20230306
S0231056,Lake Carmody,Lake Carmody,Mine,Openpit,Operating,J04478,Lake Carmody Gypsum,119.363913999999994,-32.531194999999997,722014,6398219,50,Gp,Industrial mineral,GYPSUM,Lake Carmody,Y,Gp,Y,,Operating Mine,Public,2732,HURLSTONE,SI50-04,HYDEN,"KONDININ, SHIRE OF","WHEATBELT, Development Region",70,SOUTH WEST M.F.,Yilgarn Craton granites,20230306
S0231120,Murrin East ,Murrin East (PAE Production),Mine,Openpit,Operating,J00480,Murrin Murrin / Minara,122.176120999999995,-29.073484000000001,419810,6783593,51,Ni Co,Steel alloy metal,NICKEL,Murrin East,Y,"Ni, Co",Y,,Operating Mine,Public,3339,LAKE CAREY,SH51-06,EDJUDINA,"LEONORA, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",39,MT. MORGANS,Eastern Goldfields Superterrane,20230306
S0231154,Piavanini Rd Lot 4477 Gravel / Cannaponics,Piavanini Rd Collie Burn Lot 4477 Gravel / Cannaponics,Mine,Openpit,Operating,J03503,Piavanini Rd / Cannaponics,116.222887000000000,-33.399385000000002,427733,6304166,50,Gvl Sd,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2131,COLLIE,SI50-06,COLLIE,"COLLIE, SHIRE OF","SOUTH WEST, Development Region",12,COLLIE RIVER M.F.,Collie Sub-basin,20230306
S0231157,Coalfields Hwy Granite Lot 501 Shenton Pit /Catalano,Coalfields Highway Lot 501 Granite Shenton Pit / Catalano,Mine,Openpit,Operating,J03637,Coalfields Highway / Catalano ,115.903136000000003,-33.303997000000003,397886,6314474,50,Agg Gran,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2031,BUNBURY,SI50-06,COLLIE,"HARVEY, SHIRE OF","SOUTH WEST, Development Region",70,SOUTH WEST M.F.,South West Terrane,20230306
S0231160,Byron Rd Lot 5397 Maiolo Pit 2/Carbone,Byron Rd Upper Capel Lot 5397 Maiolo Pit 2 / Carbone,Mine,Openpit,Operating,J06341,South West Operations EIL  / Carbone,115.777339999999995,-33.650149999999996,386626,6275963,50,Gvl,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2030,DONNYBROOK,SI50-06,COLLIE,"DONNYBROOK-BALINGUP, SHIRE OF","SOUTH WEST, Development Region",70,SOUTH WEST M.F.,Bunbury Trough,20230306
S0231209,Bald Hill Central Pit,Bald Hill Central Pit,Mine,Openpit,Operating,J00444,Bald Hill,122.176350999999997,-31.519349999999999,421798,6512545,51,Li Ta,Speciality metal,TIN - TANTALUM - LITHIUM,,N,,,,,Public,3334,YARDINA,SH51-14,WIDGIEMOOLTHA,"COOLGARDIE, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",15,COOLGARDIE,Eastern Goldfields Superterrane,20230306
S0231270,Esperance Granite/Esperance Shire,Esperance Granite / Esperance Shire,Mine,Openpit,Operating,J04498,Esperance Shire,121.919805999999994,-33.772764000000002,399979,6262515,51,Agg Aggm,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,3230,ESPERANCE,SI51-06,ESPERANCE,"ESPERANCE, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",63,DUNDAS M.F.,Nornalup Zone,20230306
S0231333,Warrawanda South/Mallett,Warrawanda South / Mallett,Mine,Openpit,Operating,J04503,Warrawanda / Mallett,119.873784999999998,-23.630735000000001,793208,7383706,50,Sd Gvl,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2850,WARRAWANDA,SF50-16,NEWMAN,"MEEKATHARRA, SHIRE OF","MID-WEST, Development Region",52,PEAK HILL M.F.,"Pilbara Craton, Sylvania Inlier",20230306
S0231334,Warrawanda Ck / Mallett,Warrawanda Creek / Mallett,Mine,Openpit,Operating,J04503,Warrawanda / Mallett,119.879689999999997,-23.493124999999999,794117,7398941,50,Sd Gvl,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2851,NEWMAN,SF50-16,NEWMAN,"MEEKATHARRA, SHIRE OF","MID-WEST, Development Region",52,PEAK HILL M.F.,"Pilbara Craton, Sylvania Inlier",20230306
S0231335,Five Mile Ck/Mallett,Five Mile  Creek / Mallett,Mine,Other,Operating,J04504,Five Mile / Mallett,120.183323999999999,-21.888407999999998,208948,7576856,51,Sd Gvl,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2954,NULLAGINE,SF51-05,NULLAGINE,"EAST PILBARA, SHIRE OF","PILBARA, Development Region",46,NULLAGINE,Mosquito Creek Basin,20230306
S0231377,Guilderton Rd Lot 1001 Limestone / Moore River Sand,Guilderton Rd Lot 1001 Limestone / Moore River Sand,Mine,Openpit,Operating,J02071,Moore River Sand and Limestone / Moore River Sand,115.534268999999995,-31.319856000000001,360534,6534021,50,Lst Sd,Construction material,LIMESTONE - LIMESAND,,N,,,,,Public,2035,GINGIN,SH50-14,PERTH,"GINGIN, SHIRE OF","WHEATBELT, Development Region",70,SOUTH WEST M.F.,Vlaming Sub-basin,20230306
S0231378,Guilderton Rd Lot 1001 White Sand / Moore River Sand,Guilderton Rd Lot 1001 White Sand / Moore River Sand,Mine,Openpit,Operating,J02071,Moore River Sand and Limestone / Moore River Sand,115.538089999999997,-31.317879999999999,360895,6534245,50,Sd,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2035,GINGIN,SH50-14,PERTH,"GINGIN, SHIRE OF","WHEATBELT, Development Region",70,SOUTH WEST M.F.,Vlaming Sub-basin,20230306
S0231379,Guilderton Rd Lot 1001 Yellow Sand / Moore River Sand,Guilderton Rd Lot 1001 Yellow Sand / Moore River Sand,Mine,Openpit,Operating,J02071,Moore River Sand and Limestone / Moore River Sand,115.532694000000006,-31.320239000000001,360385,6533977,50,Sd,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2035,GINGIN,SH50-14,PERTH,"GINGIN, SHIRE OF","WHEATBELT, Development Region",70,SOUTH WEST M.F.,Vlaming Sub-basin,20230306
S0231380,Freds Dilemma,Freds Dilemma,Mine,Openpit,Operating,J04510,Freds Dilemma - Parity,116.429861000000002,-29.405760000000001,444686,6746923,50,Gp,Industrial mineral,GYPSUM,Freds Dilemma,Y,Gp,Y,,Operating Mine,Public,2139,PERENJORI,SH50-06,PERENJORI,"PERENJORI, SHIRE OF","MID-WEST, Development Region",70,SOUTH WEST M.F.,Yilgarn Craton granites,20230306
S0231390,Gravel Lot 4677,North West Coastal Highway Binnu Lot 4677,Mine,Openpit,Operating,J04511,Binnu Gravel / Simpkin,114.668739000000002,-27.979168999999999,270705,6902916,50,Gvl,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,1842,AJANA,SG50-13,AJANA,"NORTHAMPTON, SHIRE OF","MID-WEST, Development Region",66,NORTHAMPTON M.F.,"Pinjarra Orogen, Northampton Inlier",20230306
S0231391,Gravel Lot 6603,North West Coastal Highway Binnu Lot 6603,Mine,Openpit,Operating,J04511,Binnu Gravel / Simpkin,114.689160999999999,-28.009354999999999,272777,6899609,50,Gvl,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,1841,NORTHAMPTON,SH50-01,GERALDTON,"NORTHAMPTON, SHIRE OF","MID-WEST, Development Region",66,NORTHAMPTON M.F.,"Pinjarra Orogen, Northampton Inlier",20230306
S0231429,Invincible - St Ives,Invincible - St Ives,Mine,Openpit,Operating,J00178,Kambalda - St Ives,121.670717999999994,-31.279914000000002,373466,6538614,51,Au Ag,Precious metal,GOLD,,N,,,,,Public,3235,LAKE LEFROY,SH51-14,WIDGIEMOOLTHA,"COOLGARDIE, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",15,COOLGARDIE,Eastern Goldfields Superterrane,20230306
S0231433,Coalfields Hwy Lots 501 and 21 North/Catalano,Coalfields Highway Lots 501 and 21 North / Catalano,Mine,Openpit,Operating,J03637,Coalfields Highway / Catalano ,115.901919000000007,-33.280835000000003,397746,6317041,50,Gvl,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2031,BUNBURY,SI50-06,COLLIE,"HARVEY, SHIRE OF","SOUTH WEST, Development Region",70,SOUTH WEST M.F.,South West Terrane,20230306
S0231535,Pivot Hill PH-Z1/Z2,Pivot Hill PH-Z1/Z2 / JAB,Mine,Openpit,Operating,J04336,Pivot Hill / JAB,128.271217000000007,-15.606543000000000,421874,8274452,52,Agg Bas,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,4566,ERSKINE,SD52-14,CAMBRIDGE GULF,"WYNDHAM-EAST KIMBERLEY, SHIRE OF","KIMBERLEY, Development Region",80,KIMBERLEY M.F.,Kalkarindji Large Igneous Province,20230306
S0231546,Shark Bay Rock 2,Shark Bay Rock 2,Mine,Openpit,Operating,J01707,Shark Bay Rock / Shark Bay Shire,113.656661999999997,-26.110918000000002,765681,7109320,49,Aggc Lst,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,1645,PERON,SG49-12,EDEL,"SHARK BAY, SHIRE OF","GASCOYNE, Development Region",9,GASCOYNE M.F.,Gascoyne Platform,20230306
S0231569,Mindijup Rd Lot 102/Armogedin,Mindijup Rd Lot 102 Palmdale / Armogedin,Mine,Openpit,Operating,J04532,Albany / Armogedin,118.071363000000005,-34.762211999999998,598048,6152804,50,Sd Sisd,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2528,MANYPEAKS,SI50-11,MOUNT BARKER,"ALBANY, CITY OF","GREAT SOUTHERN, Development Region",70,SOUTH WEST M.F.,Esperance Shelf,20230306
S0231573,Sandpatch Rd Lot 301/Armogedin,Sandpatch Rd Lot 301 Torndirrup / Armogedin,Mine,Openpit,Operating,J04532,Albany / Armogedin,117.823318000000000,-35.051535999999999,575083,6120932,50,Sd Lsd,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2427,ALBANY,SI50-15,ALBANY,"ALBANY, CITY OF","GREAT SOUTHERN, Development Region",70,SOUTH WEST M.F.,Esperance Shelf,20230306
S0231590,Vivien UG,Vivien Underground,Mine,Decline,Operating,J04242,Vivien,120.568526000000006,-27.976825000000002,260840,6902983,51,Au Ag,Precious metal,GOLD,Vivien,N,,Y,,Operating Mine,Public,3042,SIR SAMUEL,SG51-13,SIR SAMUEL,"LEONORA, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",36,LAWLERS,Eastern Goldfields Superterrane,20230306
S0231601,Wadrah Plateau 3,Wadrah Plateau Dimension Stone 3,Mine,Openpit,Operating,J04400,Parry Range–Maroonah Marbles,115.730829000000000,-22.706002999999999,369646,7488468,50,Marb Dol Dst,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2052,BOOLALOO,SF50-10,WYLOO,"ASHBURTON, SHIRE OF","PILBARA, Development Region",8,ASHBURTON M.F.,Edmund Basin,20230306
S0231605,Wadrah Plateau 8,Wadrah Plateau Dimension Stone 8,Mine,Openpit,Operating,J04400,Parry Range–Maroonah Marbles,115.729648999999995,-22.699549000000001,369518,7489181,50,Marb Dol Dst,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2052,BOOLALOO,SF50-10,WYLOO,"ASHBURTON, SHIRE OF","PILBARA, Development Region",8,ASHBURTON M.F.,Edmund Basin,20230306
S0231621,Brookton Hwy Lot 20 / Bassett,Brookton Highway Brookton Lot 20 / Bassett,Mine,Openpit,Operating,J04540,Brookton Sand / Bassett,117.037285999999995,-32.361863000000000,503508,6419453,50,Sd,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2333,BROOKTON,SI50-03,CORRIGIN,"BROOKTON, SHIRE OF","WHEATBELT, Development Region",70,SOUTH WEST M.F.,Yilgarn Craton granites,20230306
S0231635,B1 Sat,Turner Syncline B1 Satellite,Mine,Openpit,Operating,J00609,Turner Syncline West,117.472463000000005,-22.678760000000000,548533,7491964,50,Fe,Iron,IRON ORE,,N,,,,,Public,2352,ROCKLEA,SF50-11,MOUNT BRUCE,"ASHBURTON, SHIRE OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Hamersley Basin,20230306
S0231670,L'Haridon Bight South 2,L'Haridon Bight South 2,Mine,Openpit,Operating,J01645,L'Haridon Bight,113.819429000000000,-26.168748999999998,781827,7102568,49,Lsd Shell,Construction material,LIMESTONE - LIMESAND,,N,,,,,Public,1645,PERON,SG49-12,EDEL,"SHARK BAY, SHIRE OF","GASCOYNE, Development Region",9,GASCOYNE M.F.,Gascoyne Platform,20230306
S0231689,Finn Rd Lot 1504 Pit A/Letto,Finn Rd Myalup Lot 1504 Pit A / Letto,Mine,Openpit,Operating,J04543,Myalup Limestone / Letto,115.698880000000003,-32.992829000000000,378440,6348756,50,Lst Sd,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2032,PINJARRA,SI50-02,PINJARRA,"HARVEY, SHIRE OF","SOUTH WEST, Development Region",70,SOUTH WEST M.F.,Mandurah Terrace,20230306
S0231690,Lot 12911 Tannin Rd Dixvale,Lot 12911 Tannin Road Dixvale,Mine,Openpit,Operating,J04544,Dixvale Gravel / Hall & Corio,116.075333000000001,-34.193275000000000,414801,6216027,50,Gvl,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2129,MANJIMUP,SI50-10,PEMBERTON,"MANJIMUP, SHIRE OF","SOUTH WEST, Development Region",70,SOUTH WEST M.F.,South West Terrane,20230306
